iter	Passed	Remaining
420	2099	2887
421	2111	2891
422	2116	2886
423	2124	2886
424	2127	2878
425	2131	2871
426	2142	2875
427	2148	2871
428	2155	2869
429	2159	2862
430	2170	2866
431	2174	2859
432	2182	2857
433	2186	2852
434	2189	2844
435	2197	2843
436	2205	2840
437	2207	2832
438	2217	2833
439	2219	2825
440	2222	2816
441	2229	2814
442	2232	2807
443	2235	2798
444	2238	2792
445	2247	2792
446	2250	2784
447	2254	2777
448	2263	2777
449	2266	2769
450	2276	2771
451	2282	2767
452	2294	2770
453	2297	2762
454	2300	2755
455	2307	2752
456	2310	2745
457	2315	2740
458	2327	2743
459	2332	2737
460	2342	2738
461	2346	2732
462	2358	2735
463	2364	2731
464	2377	2735
465	2382	2729
466	2387	2724
467	2390	2717
468	2400	2717
469	2403	2710
470	2406	2702
471	2409	2694
472	2414	2690
473	2421	2686
474	2424	2680
475	2431	2677
476	2439	2674
477	2444	2669
478	2448	2663
479	2451	2656
480	2457	2651
481	2469	2654
482	2477	2652
483	2484	2649
484	2495	2649
485	2497	2641
486	2509	2643
487	2512	2635
488	2515	2628
489	2529	2632
490	2546	2639
491	2549	2632
492	2553	2626
493	2556	2618
494	2559	2611
495	2565	2606
496	2568	2599
497	2581	2602
498	2585	2595
499	2593	2593
500	2596	2585
501	2598	2578
502	2601	2570
503	2609	2568
504	2611	2559
505	2613	2551
506	2615	2543
507	2617	2535
508	2622	2530
509	2625	2522
510	2627	2514
511	2635	2512
512	2639	2505
513	2641	2497
514	2645	2491
515	2650	2485
516	2652	2478
517	2656	2471
518	2664	2469
519	2667	2462
520	2670	2455
521	2673	2448
522	2681	2445
523	2685	2439
524	2694	2438
525	2698	2431
526	2702	2425
527	2712	2424
528	2715	2417
529	2718	2410
530	2726	2408
531	2730	2402
532	2740	2401
533	2744	2395
534	2748	2388
535	2761	2390
536	2764	2383
537	2773	2381
538	2778	2376
539	2781	2369
540	2786	2363
541	2789	2356
542	2791	2349
543	2798	2345
544	2800	2337
545	2802	2330
546	2805	2323
547	2807	2315
548	2814	2312
549	2817	2305
550	2820	2298
551	2827	2295
552	2830	2287
553	2833	2280
554	2835	2273
555	2837	2265
556	2845	2262
557	2847	2255
558	2849	2248
559	2852	2240
560	2859	2237
561	2865	2233
562	2869	2227
563	2873	2221
564	2876	2214
565	2878	2207
566	2880	2200
567	2885	2194
568	2889	2188
569	2891	2181
570	2893	2174
571	2895	2166
572	2901	2162
573	2904	2155
574	2906	2148
575	2909	2141
576	2912	2135
577	2916	2129
578	2918	2122
579	2921	2115
580	2923	2108
581	2926	2102
582	2933	2098
583	2936	2092
584	2939	2085
585	2941	2078
586	2947	2074
587	2950	2067
588	2952	2060
589	2954	2053
590	2957	2046
591	2964	2042
592	2966	2036
593	2969	2029
594	2971	2022
595	2973	2015
596	2978	2010
597	2980	2003
598	2982	1996
599	2985	1990
600	2987	1983
601	2993	1979
602	2996	1972
603	2998	1965
604	3000	1958
605	3002	1952
606	3008	1947
607	3011	1941
608	3013	1934
609	3016	1928
610	3018	1922
611	3024	1917
612	3026	1910
613	3028	1904
614	3031	1897
615	3033	1890
616	3037	1885
617	3040	1879
618	3043	1873
619	3045	1866
620	3047	1860
621	3053	1855
622	3056	1849
623	3058	1842
624	3060	1836
625	3063	1830
626	3068	1825
627	3070	1819
628	3073	1812
629	3075	1806
630	3077	1799
631	3079	1793
632	3085	1788
633	3087	1782
634	3089	1775
635	3092	1769
636	3094	1763
637	3099	1758
638	3102	1752
639	3105	1746
640	3109	1741
641	3113	1736
642	3116	1730
643	3118	1724
644	3120	1717
645	3122	1711
646	3125	1705
647	3130	1700
648	3132	1694
649	3135	1688
650	3137	1681
651	3139	1675
652	3145	1671
653	3147	1665
654	3150	1659
655	3152	1653
656	3155	1647
657	3160	1642
658	3163	1636
659	3165	1630
660	3167	1624
661	3169	1618
662	3176	1614
663	3178	1608
664	3180	1602
665	3183	1596
666	3185	1590
667	3191	1586
668	3193	1580
669	3196	1574
670	3200	1569
671	3207	1565
672	3210	1559
673	3213	1554
674	3216	1548
675	3223	1544
676	3225	1539
677	3228	1533
678	3232	1528
679	3239	1524
680	3241	1518
681	3244	1512
682	3247	1507
683	3253	1503
684	3256	1497
685	3259	1491
686	3263	1486
687	3270	1483
688	3273	1477
689	3276	1472
690	3281	1467
691	3285	1462
692	3288	1456
693	3290	1451
694	3294	1445
695	3299	1441
696	3306	1437
697	3309	1432
698	3318	1428
699	3321	1423
700	3325	1418
701	3331	1414
702	3335	1409
703	3339	1403
704	3346	1400
705	3356	1397
706	3363	1393
707	3366	1388
